1,Office Supplies,online,Sub-Saharan Africa,Lebanon
2,Baby Food,Online,Europe,Iceland
2,Meat,Online,Europe,Russia
2,Meat,Online,Europe,Moldova
2,Cereal,Online,Europe,Malta
2,Meat,Online,Asia,Indonesia
2,Household,Online,Sub-Saharan Africa,Djibouti
2,Household,Online,Europe,Greece
2,Cosmetics,Offline,Sub-Saharan Africa,Cameroon
2,Cosmetics,Online,Sub-Saharan Africa,Nigeria
2,Fruits,Offline,Sub-Saharan Africa,Senegal
2,Cosmetics,Offline,Middle East and North Africa,Afghanistan
2,Vegetables,Online,Asia,India
2,Vegetables,Online,Middle East and North Africa,Lebanon
2,Office Supplies,Online,Middle East and North Africa,Turkey
2,Cosmetics,Offline,Middle East and North Africa,Iraq
2,Personal Care,Offline,Sub-Saharan Africa,Rwanda
2,Baby Food,Offline,Europe,Ukraine
2,Office Supplies,Online,Europe,Finland
2,Beverages,Offline,Sub-Saharan Africa,South Sudan
2,Fruits,Offline,Central America and the Caribbean,Antigua and Barbuda
2,Personal Care,Online,Middle East and North Africa,Kuwait
2,Office Supplies,Offline,Europe,United Kingdom
2,Personal Care,Online,Central America and the Caribbean,Saint Kitts and Nevis
2,Personal Care,Offline,Central America and the Caribbean,Antigua and Barbuda
2,Cosmetics,Offline,Central America and the Caribbean,Saint Lucia
2,Personal Care,Offline,Middle East and North Africa,Kuwait
2,Office Supplies,Online,Sub-Saharan Africa,South Sudan
2,Snacks,Online,Middle East and North Africa,Tunisia
2,Cereal,Online,Middle East and North Africa,Yemen
2,Vegetables,Offline,Sub-Saharan Africa,Guinea
2,Household,Online,Australia and Oceania,Tuvalu
2,Cereal,Offline,Asia,South Korea
2,Meat,Offline,Europe,San Marino
2,Household,Online,Central America and the Caribbean,Trinidad and Tobago
2,Meat,Offline,Europe,Kosovo
2,Personal Care,Online,Europe,Hungary
2,Personal Care,Offline,Sub-Saharan Africa,Botswana
2,Beverages,Online,Middle East and North Africa,Turkey
2,Cosmetics,Online,Europe,Serbia
2,Personal Care,Online,Central America and the Caribbean,Guatemala
2,Household,Offline,Middle East and North Africa,United Arab Emirates
2,Vegetables,Offline,Australia and Oceania,Samoa
2,Beverages,Offline,Sub-Saharan Africa,Botswana
2,Office Supplies,Offline,Middle East and North Africa,Bahrain
2,Snacks,Online,Central America and the Caribbean,Saint Vincent and the Grenadines
